pH,Temprature,Taste,Odor,Fat,Turbidity,Colour,Grade,Grade_encoded
0.5846153846153846,0.125,0.0,0.0,0.0,0.0,1.0,medium,2
0.5384615384615384,0.0714285714285714,1.0,1.0,1.0,1.0,1.0,high,0
0.5846153846153846,0.0714285714285714,0.0,0.0,0.0,0.0,1.0,medium,2
0.0,0.1071428571428571,1.0,0.0,0.0,0.0,1.0,low,1
0.923076923076923,0.1607142857142857,1.0,1.0,1.0,1.0,0.5333333333333314,low,1
0.5846153846153846,0.1071428571428571,1.0,1.0,1.0,1.0,1.0,high,0
0.5538461538461538,0.1964285714285714,0.0,0.0,0.0,1.0,0.6666666666666679,medium,2
0.5384615384615384,0.0357142857142857,0.0,0.0,0.0,0.0,0.466666666666665,medium,2
0.5538461538461538,0.0714285714285714,0.0,0.0,0.0,0.0,1.0,medium,2
0.5846153846153846,0.1964285714285714,1.0,1.0,1.0,0.0,0.33333333333333215,high,0
0.5384615384615384,0.0535714285714286,0.0,0.0,0.0,0.0,1.0,medium,2
0.5846153846153846,0.1964285714285714,0.0,0.0,1.0,0.0,1.0,medium,2
0.5384615384615384,0.0714285714285714,1.0,0.0,1.0,0.0,1.0,medium,2
0.5692307692307693,0.0714285714285714,1.0,0.0,1.0,0.0,1.0,high,0
0.5846153846153846,0.1964285714285714,0.0,0.0,0.0,1.0,1.0,medium,2
0.5846153846153846,0.1964285714285714,1.0,1.0,1.0,1.0,0.33333333333333215,high,0
0.5384615384615384,0.017857142857142905,1.0,0.0,1.0,0.0,0.3999999999999986,medium,2
0.5846153846153846,0.0357142857142857,0.0,1.0,1.0,0.0,0.8666666666666671,high,0
0.5846153846153846,0.0,0.0,0.0,0.0,1.0,0.0,medium,2
0.5846153846153846,0.1964285714285714,0.0,1.0,0.0,0.0,0.0,medium,2
0.5846153846153846,0.125,0.0,0.0,1.0,0.0,1.0,medium,2
0.5538461538461538,0.2857142857142857,0.0,0.0,0.0,1.0,0.6666666666666679,low,1
0.5538461538461538,0.2857142857142857,0.0,0.0,0.0,0.0,1.0,low,1
0.5538461538461538,0.017857142857142905,0.0,1.0,1.0,1.0,1.0,high,0
0.5846153846153846,0.2857142857142857,0.0,0.0,1.0,0.0,1.0,low,1
0.5538461538461538,0.1607142857142857,1.0,0.0,1.0,1.0,0.6666666666666679,high,0
0.5538461538461538,0.0714285714285714,1.0,0.0,1.0,0.0,1.0,high,0
0.5538461538461538,0.0714285714285714,0.0,0.0,1.0,0.0,1.0,medium,2
0.5384615384615384,0.375,1.0,0.0,1.0,0.0,0.3999999999999986,low,1
0.5538461538461538,0.1964285714285714,0.0,1.0,0.0,0.0,1.0,medium,2
0.5384615384615384,0.1071428571428571,1.0,0.0,0.0,0.0,0.6666666666666679,medium,2
0.5846153846153846,0.1607142857142857,1.0,0.0,1.0,0.0,0.6666666666666679,high,0
0.5846153846153846,0.375,0.0,0.0,0.0,1.0,1.0,low,1
0.5384615384615384,0.2857142857142857,1.0,0.0,1.0,0.0,0.3999999999999986,low,1
0.5538461538461538,0.1071428571428571,1.0,0.0,1.0,1.0,1.0,high,0
0.5538461538461538,0.1071428571428571,0.0,0.0,0.0,0.0,1.0,medium,2
0.5384615384615384,0.0535714285714286,0.0,1.0,1.0,1.0,0.33333333333333215,low,1
0.5538461538461538,0.1071428571428571,1.0,0.0,0.0,0.0,1.0,medium,2
0.5538461538461538,0.1071428571428571,1.0,1.0,1.0,1.0,1.0,high,0
0.5538461538461538,0.1607142857142857,0.0,0.0,1.0,0.0,0.6666666666666679,medium,2
0.5384615384615384,0.1071428571428571,0.0,0.0,1.0,0.0,0.6666666666666679,medium,2
0.5538461538461538,0.0714285714285714,0.0,1.0,1.0,1.0,1.0,high,0
0.5538461538461538,0.1964285714285714,1.0,0.0,0.0,1.0,1.0,medium,2
0.5846153846153846,0.125,1.0,1.0,1.0,0.0,1.0,high,0
0.5384615384615384,0.1964285714285714,1.0,0.0,0.0,0.0,0.3999999999999986,medium,2
0.5538461538461538,0.1607142857142857,0.0,0.0,0.0,1.0,0.6666666666666679,medium,2
